candidate_id,age_group,minimal_proxy,with_proxies,without_direct_age_proxies,delta_with_vs_without,delta_without_vs_minimal,delta_with_vs_minimal
cand_000833,40-49,0.5909911,0.74365467,0.74469244,-0.0010377765,0.15370136,0.15266359
cand_000859,60+,0.6543579,0.6115507,0.6059496,0.005601108,-0.04840833,-0.04280722
cand_000869,50-59,0.5549265,0.5952476,0.67148685,-0.07623923,0.11656034,0.04032111
cand_000874,60+,0.5486458,0.5846261,0.6079526,-0.023326516,0.0593068,0.035980284
cand_000877,60+,0.68360573,0.714444,0.63494194,0.079502046,-0.048663795,0.030838251
cand_000890,30-39,0.6070523,0.5395973,0.52838576,0.0112115145,-0.07866657,-0.06745505
cand_000903,50-59,0.6679529,0.63782567,0.6945733,-0.056747615,0.026620388,-0.030127227
cand_000921,40-49,0.6040486,0.5674571,0.58203614,-0.014579058,-0.022012472,-0.03659153
cand_000924,40-49,0.589326,0.62885547,0.6465592,-0.017703712,0.057233155,0.039529443
cand_000929,<30,0.54610556,0.5565268,0.53330886,0.023217916,-0.0127967,0.0104212165
cand_000935,<30,0.59988874,0.6181961,0.6283161,-0.010119975,0.028427362,0.018307388
cand_000940,30-39,0.57455957,0.5919696,0.56111187,0.030857742,-0.013447702,0.01741004
cand_000949,40-49,0.5885104,0.65400755,0.61149824,0.042509317,0.022987843,0.06549716
cand_000953,<30,0.5730988,0.5819512,0.5784967,0.0034545064,0.005397916,0.008852422
cand_000961,40-49,0.556468,0.6009369,0.62970555,-0.028768659,0.07323754,0.04446888
cand_000966,40-49,0.55333495,0.59866625,0.624909,-0.026242733,0.07157403,0.0453313
cand_000980,<30,0.53954756,0.6177515,0.665903,-0.048151493,0.12635541,0.07820392
cand_001003,<30,0.65785706,0.6452534,0.65963435,-0.014380932,0.0017772913,-0.012603641
cand_001019,60+,0.5535796,0.5532124,0.54065657,0.012555838,-0.012923062,-0.00036722422
cand_001024,60+,0.6980478,0.6077507,0.70406747,-0.096316755,0.006019652,-0.0902971
cand_001025,60+,0.5852705,0.57861495,0.5733632,0.0052517653,-0.011907339,-0.006655574
cand_001052,60+,0.70618844,0.6925405,0.7103405,-0.017799973,0.0041520596,-0.013647914
cand_001063,30-39,0.60173666,0.586262,0.63360786,-0.047345877,0.0318712,-0.015474677
cand_001099,60+,0.6090648,0.5906975,0.58707273,0.0036247969,-0.021992087,-0.01836729
cand_001119,50-59,0.5988291,0.66742396,0.62185967,0.045564294,0.02303058,0.06859487
cand_001143,60+,0.53527397,0.6403892,0.6225352,0.017853975,0.08726126,0.105115235
cand_001149,<30,0.6079,0.64116824,0.64287144,-0.0017032027,0.034971416,0.033268213
cand_001151,<30,0.6178024,0.64434266,0.62424225,0.020100415,0.0064398646,0.02654028
cand_001153,30-39,0.61546963,0.60997766,0.6642252,-0.054247558,0.048755586,-0.005491972
cand_001158,50-59,0.6880053,0.69134665,0.67850184,0.012844801,-0.009503484,0.0033413172
cand_001159,60+,0.6718141,0.6274375,0.6961013,-0.068663836,0.024287224,-0.04437661
cand_001162,40-49,0.4419018,0.54090166,0.57943535,-0.038533688,0.13753355,0.09899986
cand_001170,40-49,0.5846846,0.6513421,0.6056534,0.04568869,0.020968795,0.06665748
cand_001182,30-39,0.592098,0.6270131,0.68888414,-0.06187105,0.09678614,0.03491509
cand_001192,60+,0.6179518,0.5972179,0.5735277,0.023690224,-0.044424117,-0.020733893
cand_001206,60+,0.68173707,0.6686842,0.6431272,0.025556982,-0.038609862,-0.013052881
cand_001211,30-39,0.5749004,0.5296581,0.5854567,-0.05579865,0.01055634,-0.04524231
cand_001226,60+,0.6661465,0.66734517,0.65247506,0.014870107,-0.013671458,0.0011986494
cand_001229,50-59,0.6526952,0.70860016,0.7226181,-0.01401794,0.069922924,0.055904984
cand_001231,50-59,0.6216383,0.68068826,0.68381035,-0.0031220913,0.062172055,0.059049964
cand_001239,60+,0.5542387,0.6134467,0.51614535,0.097301364,-0.03809333,0.059208035
cand_001250,<30,0.6187463,0.5582872,0.54405,0.014237225,-0.0746963,-0.060459077
cand_001262,60+,0.68724525,0.74075985,0.6863578,0.054402053,-0.00088745356,0.0535146
cand_001270,60+,0.5565409,0.5410811,0.5862831,-0.045202017,0.029742181,-0.0154598355
cand_001271,60+,0.65847903,0.6231747,0.64254797,-0.019373238,-0.01593107,-0.035304308
cand_001272,<30,0.6384251,0.62572056,0.6412003,-0.0154797435,0.0027751923,-0.012704551
cand_001273,40-49,0.6492375,0.6204445,0.6190148,0.001429677,-0.030222714,-0.028793037
cand_001280,60+,0.70963347,0.6429643,0.66295916,-0.019994855,-0.04667431,-0.066669166
cand_001285,40-49,0.61506414,0.6776018,0.6316825,0.0459193,0.016618371,0.06253767
cand_001291,30-39,0.6000873,0.5666679,0.5906006,-0.023932695,-0.009486675,-0.03341937
cand_001297,60+,0.61278564,0.55922997,0.66785395,-0.10862398,0.055068314,-0.053555667
cand_001308,60+,0.5536994,0.5393773,0.57553256,-0.036155283,0.021833181,-0.014322102
cand_001312,50-59,0.6468029,0.57889265,0.6299447,-0.051052034,-0.01685822,-0.067910254
cand_001315,60+,0.7483685,0.75811994,0.71518636,0.042933583,-0.033182144,0.009751439
cand_001353,50-59,0.63922757,0.57947856,0.71654767,-0.1370691,0.0773201,-0.059749007
cand_001378,<30,0.59394956,0.6361406,0.6198422,0.016298413,0.025892615,0.04219103
